;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
01.01.2021;21,2;23,3;24,5;32,8;38,4;38,9;29,0;17,7;17,3;31,0;37,3;17,0;38,0;15,1;35,9;20,2;26,3;37,9;15,3;24,6;22,9;30,9;15,5;22,8
02.01.2021;27,2;17,3;36,2;28,0;25,8;34,8;35,0;38,4;30,0;22,7;18,4;23,4;37,3;27,2;18,2;17,5;15,2;38,7;22,2;32,2;37,5;37,8;22,2;31,1
03.01.2021;36,8;28,8;19,4;29,3;23,8;36,3;15,6;37,0;29,4;22,2;23,9;27,8;39,9;28,1;39,0;23,2;32,0;31,7;17,4;23,5;29,2;33,2;37,6;35,3
04.01.2021;37,3;39,0;37,3;37,6;29,7;34,1;28,2;38,0;17,9;28,8;30,2;33,3;26,6;27,8;21,8;18,7;19,0;28,6;39,7;25,5;32,8;21,5;39,7;25,1
05.01.2021;38,2;33,4;25,7;17,2;33,9;36,2;23,3;28,5;19,8;20,4;34,6;27,2;27,8;31,5;27,6;16,2;29,3;32,8;34,0;35,8;38,9;26,5;36,1;15,9
06.01.2021;23,0;36,1;35,1;30,7;16,3;36,1;28,6;31,2;38,9;32,8;26,2;38,5;39,4;15,8;37,3;36,2;20,9;34,8;23,4;31,1;24,3;19,4;32,2;34,9
07.01.2021;35,2;21,8;21,3;15,6;24,7;27,8;16,9;22,5;38,4;21,2;20,6;26,5;38,0;37,4;29,0;35,6;37,6;32,1;32,4;37,6;33,2;27,0;23,9;39,2
08.01.2021;39,2;30,7;24,0;29,3;18,0;29,6;25,7;35,8;20,1;20,4;22,5;24,6;16,2;32,7;30,3;27,7;19,2;36,6;29,0;30,0;19,8;35,9;26,8;18,1
09.01.2021;21,5;30,0;35,6;16,3;33,7;31,0;28,3;21,1;39,5;29,9;22,9;24,7;32,8;28,4;33,6;15,5;18,9;25,4;36,3;21,0;18,0;33,6;23,4;15,5
10.01.2021;28,0;20,9;31,3;23,5;25,7;29,7;18,0;30,2;39,5;26,4;21,2;35,6;37,3;33,2;26,4;33,8;35,7;29,1;39,1;23,8;18,3;26,9;28,8;22,4
11.01.2021;39,6;21,7;34,8;26,3;15,9;32,6;39,9;35,3;16,1;16,6;23,4;15,5;21,2;21,9;15,7;37,8;17,2;15,8;24,9;34,2;25,4;37,8;20,9;24,3
12.01.2021;25,0;27,0;17,6;38,2;25,5;20,9;30,9;37,2;31,4;21,2;16,1;34,8;38,2;25,5;38,1;29,7;29,8;18,4;39,1;35,5;30,8;26,7;24,7;25,0
13.01.2021;35,0;19,6;32,3;36,6;34,1;28,1;30,9;17,2;39,1;30,1;22,3;25,5;19,8;35,9;33,8;16,2;34,9;17,4;34,0;31,3;17,6;37,7;24,3;19,4
14.01.2021;18,4;31,2;25,3;17,5;30,5;19,6;22,8;28,7;37,7;28,2;15,6;17,0;39,4;35,8;20,3;34,6;25,0;35,0;19,2;22,7;19,8;22,8;16,8;22,1
15.01.2021;19,3;19,1;38,7;26,0;35,9;33,8;27,8;31,2;17,0;39,4;35,5;25,2;24,7;28,2;29,6;24,5;37,7;32,9;28,4;32,4;37,4;23,0;28,5;16,3
16.01.2021;22,3;15,4;22,8;34,5;15,8;18,4;15,4;34,2;15,9;27,2;18,2;33,6;38,4;15,2;18,3;27,8;27,6;30,6;32,1;23,7;28,2;33,7;37,4;29,0
17.01.2021;18,7;27,7;38,7;16,0;19,4;23,9;32,9;35,3;21,7;33,3;35,8;16,4;18,1;28,6;20,2;26,1;34,2;25,9;20,2;25,8;33,3;18,7;29,0;29,7
18.01.2021;29,3;15,2;35,9;35,6;30,8;34,9;30,7;38,0;37,2;36,3;23,1;24,8;29,5;38,6;34,3;31,4;22,7;32,0;28,0;18,0;29,3;38,7;32,4;22,5
19.01.2021;36,6;23,0;21,2;16,1;24,4;35,9;16,2;17,4;16,4;17,3;24,1;22,9;16,8;26,9;19,3;22,7;20,9;37,6;39,3;27,7;31,6;27,1;37,2;27,5
20.01.2021;24,3;38,4;35,4;36,3;37,6;22,9;25,7;39,8;30,4;32,9;22,6;29,0;33,3;33,8;16,6;22,8;28,6;16,3;33,6;18,7;20,9;28,2;17,1;25,7
21.01.2021;36,0;34,2;30,2;36,4;23,8;27,1;38,0;21,3;33,2;22,4;25,9;39,2;27,2;32,9;39,2;26,0;20,8;28,7;30,2;18,0;39,5;23,5;21,7;33,5
22.01.2021;32,5;16,4;37,4;26,9;22,7;23,5;35,6;21,2;35,8;28,3;30,8;32,8;23,0;34,9;35,9;38,3;39,5;39,4;24,6;35,6;19,2;23,2;37,1;33,7
23.01.2021;35,8;36,4;25,3;28,6;17,5;35,7;18,1;31,4;15,6;22,0;27,9;23,4;17,1;37,8;26,0;21,0;20,8;29,9;35,6;26,2;26,9;24,9;25,6;27,6
24.01.2021;22,0;23,0;15,5;21,7;23,8;29,3;25,5;17,1;19,7;23,2;26,6;17,0;20,1;32,8;16,0;34,5;37,6;24,1;16,0;32,6;32,5;39,8;30,6;28,1
25.01.2021;19,0;38,8;26,9;36,4;33,2;38,1;31,3;27,7;26,7;20,5;22,4;34,2;28,4;27,5;26,8;17,9;28,3;33,2;22,4;23,5;39,3;18,8;30,2;36,0
26.01.2021;35,5;18,5;23,3;39,1;25,5;31,4;18,8;30,3;22,3;26,9;18,6;19,5;35,3;39,1;31,1;31,2;27,2;20,3;22,1;24,4;16,4;22,7;18,7;18,3
27.01.2021;33,8;18,2;16,3;30,7;28,9;16,1;37,2;34,1;19,2;23,4;30,5;17,1;19,4;21,5;36,5;25,4;31,6;32,9;28,7;22,7;24,7;33,1;24,0;31,2
28.01.2021;38,0;31,8;19,5;32,2;36,8;24,0;21,0;32,5;18,7;37,8;21,5;32,1;19,0;31,4;17,0;30,2;21,8;34,4;38,1;20,4;36,6;24,6;16,0;17,1
29.01.2021;36,9;30,8;38,1;17,0;19,9;21,8;17,9;38,3;15,6;27,3;24,4;24,4;23,7;33,5;22,6;32,5;30,7;34,3;20,9;23,4;22,6;22,1;37,9;15,9
30.01.2021;33,2;20,6;29,0;20,4;30,4;27,2;31,4;26,4;31,4;37,1;32,9;39,3;36,1;27,6;32,8;21,1;21,8;25,7;31,7;31,9;39,2;25,5;23,7;34,3
31.01.2021;39,9;22,8;21,7;24,7;32,5;24,9;39,6;21,2;29,6;18,6;20,2;25,6;16,4;36,8;29,0;36,4;29,9;23,3;17,0;33,6;15,5;38,4;32,9;17,9
01.02.2021;37,2;27,0;24,9;16,2;26,7;29,7;31,2;19,9;32,4;21,0;32,2;19,7;39,1;18,5;37,9;38,7;21,2;30,4;23,5;21,4;38,5;22,4;20,2;18,5
02.02.2021;16,4;23,0;38,7;20,6;36,9;20,4;33,4;30,6;29,0;33,6;31,9;25,3;29,6;23,7;31,2;16,4;32,9;29,4;31,5;34,9;26,3;25,8;33,4;38,7
03.02.2021;31,0;38,6;16,6;34,5;27,0;37,6;38,3;36,9;28,9;17,2;35,2;35,8;26,2;32,6;23,1;35,9;33,2;24,7;28,1;36,8;17,4;16,2;35,9;33,2
04.02.2021;29,3;31,5;16,2;17,6;28,7;34,6;18,4;22,0;32,8;21,5;33,9;15,4;25,8;32,8;17,4;22,9;33,1;23,5;24,1;23,4;15,9;32,1;39,0;20,8
05.02.2021;34,1;17,5;34,9;37,8;39,8;34,0;36,0;23,2;40,0;37,4;25,4;29,8;25,0;29,1;17,8;33,0;19,6;19,6;21,0;27,5;16,3;40,0;21,8;37,7
06.02.2021;26,0;30,4;15,6;23,9;25,8;28,3;28,8;24,4;21,2;32,1;24,9;39,8;32,1;30,3;29,7;38,8;36,6;24,9;19,1;26,5;16,2;39,5;24,4;38,2
07.02.2021;37,0;22,0;30,6;24,0;16,5;32,9;38,8;19,8;30,7;27,0;35,1;21,8;21,5;16,0;26,8;23,5;33,7;25,8;27,1;38,5;34,2;18,8;33,6;38,2
08.02.2021;27,8;27,6;20,1;19,8;32,5;19,0;35,3;21,6;29,3;30,8;28,7;30,3;36,3;35,5;38,1;26,1;22,0;15,9;29,6;31,4;36,1;22,8;21,2;29,6
09.02.2021;39,4;27,8;37,8;28,9;16,0;31,0;21,2;22,5;31,3;36,4;30,4;21,4;36,4;31,0;29,1;22,7;39,8;34,3;23,6;36,0;27,1;35,1;19,1;21,9
10.02.2021;21,7;15,4;18,4;20,1;16,5;34,4;22,2;32,7;24,7;32,9;34,3;35,9;18,3;18,7;29,7;39,5;16,6;23,5;26,4;24,0;35,5;34,4;36,1;37,0
11.02.2021;31,7;37,4;23,8;16,2;23,6;36,1;27,4;18,2;31,5;17,6;33,9;34,7;28,9;29,8;39,6;34,5;28,3;19,7;15,9;36,8;20,3;19,3;30,7;21,7
12.02.2021;39,4;21,9;34,7;22,3;16,6;36,2;27,1;32,5;20,5;18,0;17,9;18,6;36,9;20,8;36,3;33,9;27,7;29,8;20,4;21,6;16,4;31,4;27,7;38,2
13.02.2021;24,7;38,1;27,3;25,4;26,8;33,8;19,0;38,6;16,8;22,6;22,9;20,5;35,9;16,1;35,9;26,2;25,3;25,9;29,1;15,7;31,2;32,2;32,3;37,1
14.02.2021;27,2;16,3;39,0;31,3;28,3;29,8;22,6;26,4;32,5;32,9;35,3;39,1;21,4;30,8;17,0;25,0;25,8;18,6;34,6;31,2;37,2;33,4;17,3;28,5
15.02.2021;31,5;23,7;37,2;28,0;27,9;37,3;17,3;35,9;20,5;34,7;35,1;26,8;26,7;16,7;21,9;16,3;33,8;34,9;22,8;15,5;19,8;21,0;36,4;16,9
16.02.2021;17,8;32,3;38,0;35,8;27,0;34,2;39,3;34,5;29,7;16,2;21,0;16,6;33,9;20,2;27,1;25,1;25,7;36,1;29,3;20,8;22,9;23,3;35,4;33,2
17.02.2021;22,2;17,2;32,6;19,2;33,0;33,9;40,0;19,6;20,8;25,8;27,8;30,9;36,3;39,0;20,2;30,8;26,0;23,8;17,8;29,8;22,5;34,3;26,6;29,2
18.02.2021;34,8;29,1;25,0;30,2;39,6;18,2;15,5;26,1;22,6;32,0;38,2;27,9;27,9;33,4;15,5;24,2;21,0;23,7;22,2;24,9;29,9;37,8;39,9;33,2
19.02.2021;33,8;28,7;23,4;38,1;34,0;29,8;27,2;18,3;37,0;20,8;21,8;29,3;33,9;26,9;39,1;26,3;31,1;24,3;19,2;33,2;34,7;26,2;29,0;18,7
20.02.2021;32,9;20,7;22,8;32,6;21,4;18,7;39,8;34,8;38,7;21,2;21,0;36,8;36,6;25,4;26,7;26,4;26,7;31,7;19,5;37,5;27,6;39,9;22,2;32,9
21.02.2021;30,1;37,6;27,0;31,1;26,0;28,1;18,1;18,3;34,3;30,0;28,9;21,9;37,3;21,2;15,0;23,2;28,0;24,4;25,0;34,8;34,3;33,8;15,6;26,9
22.02.2021;37,9;20,1;33,7;38,5;35,3;20,5;20,0;23,9;32,9;35,7;37,8;30,1;29,3;37,4;39,8;38,2;23,7;39,6;18,2;26,5;30,5;24,2;28,5;23,2
23.02.2021;32,6;22,8;25,5;27,4;16,5;29,1;26,2;18,7;29,4;22,0;20,6;30,5;19,4;31,4;35,0;18,4;33,0;25,4;34,5;31,2;33,6;31,1;30,9;20,6
24.02.2021;30,5;27,9;34,0;17,2;33,9;27,7;30,8;34,2;27,1;22,8;26,1;33,0;23,8;28,2;22,1;34,0;25,5;32,3;18,4;16,4;21,4;34,9;15,1;28,2
25.02.2021;16,5;25,6;21,2;22,6;31,4;27,9;17,6;25,4;30,9;18,1;22,2;16,7;34,3;15,9;31,1;28,3;33,5;28,0;25,0;22,9;26,3;17,2;22,5;24,2
26.02.2021;25,3;22,4;30,1;21,6;18,7;21,8;15,7;27,3;34,2;32,7;27,9;33,3;25,2;17,2;29,1;28,9;34,8;19,3;29,1;21,9;24,6;33,7;24,4;21,4
27.02.2021;25,3;30,8;34,7;33,0;24,9;30,7;15,8;34,1;15,9;16,0;19,5;23,9;16,2;20,8;32,5;30,8;30,8;19,3;17,2;34,5;16,5;28,7;18,0;20,8
28.02.2021;20,7;17,9;20,6;31,0;26,4;24,6;21,5;17,5;21,2;32,6;27,4;25,6;31,4;19,5;15,7;26,8;31,9;26,2;32,2;29,1;15,0;33,9;31,9;30,5
01.03.2021;19,8;32,3;24,4;25,3;24,1;26,4;34,6;28,6;15,6;25,8;20,8;22,1;16,9;15,8;30,6;18,6;24,3;15,7;20,1;25,3;26,7;26,0;20,6;31,8
02.03.2021;19,5;24,9;22,7;19,7;21,4;24,0;21,4;21,3;29,6;25,6;17,8;33,0;21,1;29,7;20,2;22,8;29,7;22,4;19,6;24,3;31,3;28,2;30,9;33,2
03.03.2021;22,6;18,6;21,5;24,9;22,3;28,9;28,8;33,6;33,6;33,0;30,4;15,2;26,5;22,8;34,1;20,4;19,0;24,5;19,0;33,7;15,2;17,0;30,6;23,3
04.03.2021;15,9;28,0;25,5;27,1;33,5;22,5;28,3;29,4;31,6;19,1;22,5;29,0;29,8;22,8;27,0;31,3;29,0;27,1;25,0;17,3;19,4;33,9;34,8;34,3
05.03.2021;31,8;29,9;17,6;19,5;26,3;29,0;24,4;18,6;33,2;15,0;31,2;22,8;28,4;29,0;32,4;34,1;26,8;30,2;20,2;34,5;30,7;22,9;30,5;31,6
06.03.2021;29,1;26,2;21,3;24,8;26,9;29,0;21,4;31,6;16,2;24,7;21,4;27,6;21,0;16,9;22,3;19,7;26,5;23,8;21,5;20,3;34,7;34,1;28,8;21,6
07.03.2021;18,8;33,0;24,9;16,1;19,6;22,4;19,4;28,2;17,1;20,9;28,5;20,7;25,4;22,7;21,0;23,9;27,9;25,5;33,2;29,2;31,7;34,1;30,2;28,5
08.03.2021;17,8;21,9;27,2;31,9;15,7;34,9;19,6;22,1;19,3;28,6;20,4;30,9;28,1;18,4;23,0;15,5;21,4;20,7;26,4;34,2;30,5;19,3;34,8;18,7
09.03.2021;33,5;28,9;18,5;31,5;18,5;19,0;28,8;24,6;30,6;30,1;22,7;32,6;24,8;31,7;19,6;20,8;16,5;30,1;34,1;33,3;15,4;19,7;17,4;28,3
10.03.2021;9,2;11,0;20,8;24,0;10,9;15,5;7,9;15,0;9,2;20,2;11,5;23,9;8,7;20,0;14,4;19,3;12,4;14,7;6,2;21,4;17,5;14,4;10,0;20,9
11.03.2021;13,3;21,9;12,1;17,6;13,8;16,5;21,4;16,4;14,6;18,5;11,3;20,8;22,3;16,4;21,8;9,4;8,4;7,0;13,7;15,7;24,0;14,8;16,9;14,5
12.03.2021;21,7;17,7;14,0;14,8;20,4;7,9;10,3;8,9;15,6;12,1;19,9;11,2;10,4;20,8;7,7;19,8;13,6;7,3;9,3;11,6;16,0;7,0;16,3;9,8
13.03.2021;24,6;22,9;23,8;13,2;14,7;12,2;24,3;18,4;9,4;12,1;10,7;13,6;6,2;12,2;9,1;22,9;13,6;10,6;17,2;13,8;7,3;20,3;18,4;18,2
14.03.2021;20,8;15,6;10,4;9,5;12,9;21,8;15,3;22,8;11,4;19,8;12,2;13,2;9,6;21,8;18,3;5,1;22,9;15,1;12,4;11,7;22,2;22,3;6,9;23,5
15.03.2021;16,2;5,1;21,9;6,8;11,1;20,3;22,1;6,7;9,6;18,0;11,0;8,8;15,0;13,2;21,8;10,9;18,2;16,4;7,3;21,6;5,6;17,4;24,7;14,6
16.03.2021;23,5;12,6;9,5;8,6;13,8;14,4;8,0;9,8;8,6;10,6;22,2;15,7;15,2;22,8;24,9;12,2;6,5;11,2;10,5;15,6;11,3;11,6;21,7;11,8
17.03.2021;6,4;5,3;16,4;6,4;12,6;23,2;7,5;5,5;16,8;18,4;10,7;5,3;15,6;17,6;15,3;6,1;12,4;15,6;17,7;12,1;14,9;17,3;8,9;12,1
18.03.2021;18,9;13,1;7,7;9,4;10,2;16,0;23,5;22,9;21,6;15,9;7,9;23,0;15,6;10,7;13,6;9,6;17,6;16,0;17,1;8,3;18,7;15,2;13,3;7,4
19.03.2021;6,7;7,4;16,4;9,4;17,0;23,7;24,0;10,2;14,6;18,1;12,8;22,7;18,9;10,4;19,0;15,9;15,3;15,6;21,2;16,2;6,2;18,2;11,5;7,3
20.03.2021;17,3;13,6;8,0;8,7;5,1;12,7;22,2;22,9;15,3;17,8;17,4;11,6;10,4;23,7;11,9;14,4;22,5;16,9;22,2;23,3;23,8;5,9;21,4;7,6
21.03.2021;15,4;17,0;15,5;15,6;20,1;9,6;10,7;24,1;6,3;8,3;11,5;9,1;20,6;18,0;14,1;20,1;16,8;16,6;5,7;11,1;13,7;24,9;10,9;14,5
22.03.2021;14,4;11,8;7,9;23,5;17,9;16,4;21,1;17,6;5,6;24,9;16,9;18,8;11,0;11,7;16,4;24,7;22,9;21,0;24,0;20,9;9,4;24,9;18,0;9,4
23.03.2021;24,8;8,6;8,3;16,8;6,9;16,2;21,5;9,1;17,6;7,2;9,5;8,2;6,0;7,1;9,4;10,7;23,2;18,0;12,0;22,5;21,8;13,6;9,3;13,9
24.03.2021;15,7;12,6;6,2;5,2;13,6;13,3;20,8;24,0;23,4;23,9;7,8;24,4;15,4;15,0;7,6;9,8;5,4;8,4;21,0;14,5;9,7;21,8;9,2;8,4
25.03.2021;22,7;11,9;14,5;5,8;23,5;12,7;11,9;20,1;11,0;24,4;20,9;7,9;9,6;23,7;9,6;24,4;17,1;19,7;11,4;18,2;23,0;24,9;17,1;5,6
26.03.2021;23,2;10,5;20,1;9,5;22,8;6,4;5,6;8,5;16,6;17,2;6,3;11,6;17,6;5,6;12,1;7,8;20,8;16,6;10,4;5,3;16,4;22,2;21,7;9,0
27.03.2021;21,2;18,1;19,3;5,8;9,3;11,8;21,8;12,7;10,3;24,9;11,2;12,3;6,5;10,6;17,5;18,8;15,9;19,1;15,5;12,3;23,3;5,9;20,0;17,8
28.03.2021;6,5;19,5;22,9;19,5;22,4;19,9;13,7;6,8;20,6;23,7;20,4;21,8;7,9;22,7;10,7;12,9;16,6;15,2;17,7;20,2;18,5;11,7;14,1;24,9
29.03.2021;5,3;14,1;16,1;6,7;9,4;14,0;21,8;16,0;21,1;14,3;18,5;13,9;20,5;16,6;9,4;13,9;18,3;14,4;21,1;7,2;20,0;7,1;9,9;21,1
30.03.2021;11,1;17,6;16,0;15,3;16,5;5,3;7,3;24,6;11,7;24,4;18,7;10,7;22,0;13,3;24,6;20,4;24,9;7,7;13,1;23,7;5,8;22,5;11,8;18,6
31.03.2021;23,0;6,0;8,7;10,5;6,7;19,4;24,1;13,8;14,9;7,4;15,9;18,2;19,0;9,3;23,9;13,4;20,7;24,2;17,6;7,9;16,5;16,9;12,0;9,4
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
